iter	MultiClass
0	0.9206126978
1	0.7918900008
2	0.682350124
3	0.5924510973
4	0.5203026822
5	0.4580870482
6	0.4052337977
7	0.358086559
8	0.3211794284
9	0.2865915027
10	0.2579694692
11	0.2323689251
12	0.2094332528
13	0.189354768
14	0.1708296013
15	0.1542619883
16	0.1388752867
17	0.1255616741
18	0.1142769582
19	0.1042537171
20	0.09475199013
21	0.08589525006
22	0.07796737245
23	0.07044244023
24	0.06525084198
25	0.05995465734
26	0.05416849946
27	0.04923119957
28	0.04525767511
29	0.04168371695
30	0.0383383432
31	0.03528035489
32	0.03264214945
33	0.03050725483
34	0.02801745546
35	0.02634458767
36	0.0246285083
37	0.02261958845
38	0.02113665757
39	0.01977320039
40	0.018285695
41	0.01723810546
42	0.01618693306
43	0.01483877357
44	0.01405045987
45	0.01330635746
46	0.01276428124
47	0.01232033513
48	0.01147479754
49	0.01086315004
50	0.01008424178
51	0.009439543311
52	0.009062255507
53	0.008549516067
54	0.008115047794
55	0.007683592607
56	0.007239125111
57	0.007027349286
58	0.00673733775
59	0.006361917672
60	0.006060197931
61	0.005752275013
62	0.005492979996
63	0.005381407097
64	0.005182402874
65	0.004966350603
66	0.004793432869
67	0.004652795566
68	0.004449957808
69	0.004357134984
70	0.004260925095
71	0.004076172275
72	0.003940619285
73	0.003743078906
74	0.003624697061
75	0.003477809304
76	0.00333882005
77	0.003224364141
78	0.003112652801
79	0.003002436461
80	0.002904597599
81	0.002825540941
82	0.002753798175
83	0.002662246121
84	0.002572692224
85	0.002502856481
86	0.002433819756
87	0.002365084256
88	0.002303423239
89	0.002255426561
90	0.002208560645
91	0.002140041955
92	0.002097511224
93	0.002049863423
94	0.001988253674
95	0.001960602586
96	0.001914352786
97	0.001868858378
98	0.00182754835
99	0.001795854322
100	0.001777025114
101	0.001747360774
102	0.001711046806
103	0.001677150752
104	0.001656992197
105	0.001625182474
106	0.001596585255
107	0.001575565008
108	0.00155002364
109	0.00153210147
110	0.001509663458
111	0.001485177868
112	0.001465902193
113	0.001445865964
114	0.00143061457
115	0.001410767433
116	0.001396651626
117	0.001382731156
118	0.001369371187
119	0.001356045106
120	0.001344504071
121	0.001327716665
122	0.00130816969
123	0.001296854972
124	0.001281236653
125	0.001267921924
126	0.001255068484
127	0.001242423119
128	0.001229537489
129	0.001217528317
130	0.001207681086
131	0.001195032009
132	0.001185525525
133	0.001176559311
134	0.001167490682
135	0.001158865304
136	0.001150328286
137	0.001141989838
138	0.001133522888
139	0.00112118776
140	0.001110648994
141	0.001102729969
142	0.001095142195
143	0.001087513073
144	0.001078711208
145	0.001071389326
146	0.001062001327
147	0.001054956099
148	0.001047959376
149	0.001041328615
150	0.001034614652
151	0.001025978102
152	0.001017540789
153	0.001010081396
154	0.001002888986
155	0.0009949655653
156	0.0009890753106
157	0.0009832774497
158	0.0009757286375
159	0.0009683129785
160	0.0009610726529
161	0.0009539558475
162	0.0009461710312
163	0.0009408477856
164	0.0009356259519
165	0.0009304545735
166	0.0009253747723
167	0.0009188790677
168	0.0009125335376
169	0.0009068917178
170	0.0009013555545
171	0.0008958751422
172	0.0008904886271
173	0.0008859776058
174	0.0008814669756
175	0.0008762825025
176	0.000871907866
177	0.0008673510603
178	0.0008623884974
179	0.0008575050721
180	0.0008526899082
181	0.0008474523884
182	0.0008426722343
183	0.000838087988
184	0.0008335666338
185	0.0008291118429
186	0.000824237467
187	0.000819426138
188	0.0008156517306
189	0.0008119589771
190	0.000807352142
191	0.0008032239453
192	0.000799159664
193	0.0007951564056
194	0.0007911940445
195	0.0007872703976
196	0.0007829986616
197	0.0007796500616
198	0.0007754837679
199	0.0007713922351
